"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"4.0","https://images-na.ssl-images-amazon.com/images/I/61-6nKPKyWL._RC%7C11-BZEJ8lnL.js,61GQ9IdK7HL.js,21Of0-9HPCL.js,012FVc3131L.js,119KAWlHU6L.js,51CF7BmbF2L.js,11AHlQhPRjL.js,016iHgpF74L.js,11aNYFFS5hL.js,116tgw9TSaL.js,211-p4GRUCL.js,01PoLXBDXWL.js,61VSCV4uJuL.js,01ezj5Rkz1L.js,11BOgvnnntL.js,31UWuPgtTtL.js,01rpauTep4L.js,01iyxuSGj4L.js,01OTNfCf5oL.js_.js","js","javascript","ssl-images-amazon.com","Amazon","US","Amazon "
"4.0","https://images-na.ssl-images-amazon.com/images/I/81axPrFRM0L.js","js","javascript","ssl-images-amazon.com","Amazon","US","Amazon "
"4.0","https://js-agent.newrelic.com/nr-1158.min.js","js","javascript","newrelic.com","New Relic","US","New Relic "
"4.0","https://m.media-amazon.com/images/G/01/csm/showads.v2.js","js","javascript","media-amazon.com","Unknown","",""
"4.0","https://pagead2.googlesyndication.com/pagead/js/r20200108/r20190131/show_ads_impl_fy2019.js","js","javascript","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"4.0","https://quantcast.mgr.consensu.org/cmp.js","js","javascript","consensu.org","Unknown","",""
"4.0","https://s.ytimg.com/yts/jsbin/www-widgetapi-vfl497i6p/www-widgetapi.js","js","javascript","ytimg.com","YouTube","US","YouTube > Google > Alphabet "
"4.0","https://script.hotjar.com/modules.17131bb3f82e2381dbe9.js","js","javascript","hotjar.com","Hotjar","MT","Hotjar "
"4.0","https://securepubads.g.doubleclick.net/gpt/pubads_impl_2020010202.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"4.0","https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2020010202.js","js","javascript","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"4.0","https://static.chartbeat.com/js/chartbeat_video.js","js","javascript","chartbeat.com","Chartbeat","US","Chartbeat "
"4.0","https://static.quantcast.mgr.consensu.org/v28/cmpui-popup.js","js","javascript","consensu.org","Unknown","",""
"4.0","https://tags.tiqcdn.com/utag/tiqapp/utag.v.js","js","javascript","tiqcdn.com","Tealium","US","Tealium "
