"Total Pages OK","50"
"Total Pages FAIL","0"
"Total Pages Attempted","50"
"% Pages OK","100.0"
"Total Errors","0"
"Total Cookies","773"
"Total Elements Requested","5452"
"Total Elements Received","5436"
"Total % Elements Received","99.71"
"3P Elements Requested","3939"
"3P Elements Received","3928"
"3P % Elements Received","99.72"
