"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"2.0","http://ae01.alicdn.com/kf/HTB1KTz1XwFY.1VjSZFnq6AFHXXaj.jpg_200x200.jpg","jpg","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/HTB1QVwui8DH8KJjy1zeq6xjepXaW.jpg_140x140.jpg_.webp","webp","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/HTB1RtUzKIfpK1RjSZFO7616nFXae.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/HTB1dsNDc8TH8KJjy0Fi763RsXXa6.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/HTB1o19DcBKw3KVjSZTE763uRpXap.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/HTB1oG0_dEKF3KVjSZFE760ExFXaa.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hadf59833e0fb46c38f8133beb76f61dd2.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hb0a68a29676d4b78adf6e624f0807bc7l.jpg_220x220.jpg_.webp","webp","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hbedf1163c6364fab81ce12dde2b9d040k.jpg_140x140.jpg_.webp","webp","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hc626c333c16d4bf1a70f07106d5afb5br.jpg_100x100.jpg","jpg","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hd0a140c84f984dedb859a84e22dfd0d2L.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hf79154f543f64311acf31aa660fd9df9b.jpg_200x200.jpg","jpg","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hf87fd9ab680c4663a33f7526b96e9c4cn.jpg_220x220.jpg_.webp","webp","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hfcb969af0e6d4b8a802d408ca204d36eC.jpg_220x220.jpg_.webp","webp","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hfe05139561c841a8be503b8831f5841d1.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/Hfee4f4c7b591475c80f6cb71631b04b7H.jpg_200x200.jpg","jpg","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/U7341fa081aab4be7894c338579f24cfdA.jpg_200x200.jpg","jpg","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/UTB8K1qNsFfJXKJkSamHq6zLyVXa4.jpg_200x200.jpg","jpg","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://ae01.alicdn.com/kf/UTB8tC3muCbIXKJkSaefq6yasXXaU.jpg_200x200.jpg","jpg","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://gj.mmstat.com/g.gif","gif","image","mmstat.com","Alibaba","CN","Alibaba "
"2.0","http://i.alicdn.com/ae-footer/20190918153024/common/img/android.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://i.alicdn.com/ae-footer/20190918153024/common/img/apple.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://i.alicdn.com/ae-header/20191217202516/buyer/common/img/header-sprite.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://i.alicdn.com/ae-header/20191217202516/buyer/common/img/icons-s6358434378.png","png","image","alicdn.com","Alibaba","CN","Alibaba "
"2.0","http://nbf9b5aurl.com/pxf.gif","gif","image","nbf9b5aurl.com","Unknown","",""
"2.0","http://www.movistar.es/estaticos/iconos/footer/calidad-de-servicio.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/iconos/footer/confianza-online.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/caza-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/cine-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/deportes-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/f1-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/familiar-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/futbol-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/motor-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/series-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/280x280/toros-280x280.jpg","jpg","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/flecha-azul.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/guia-rapida.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/guia-tv.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/iconos/iconos-home.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/iconos/logo-movistar--green.png","png","image","movistar.es","Unknown","",""
"2.0","http://www.movistar.es/estaticos/imagenes/logo-trustivity.png","png","image","movistar.es","Unknown","",""
